ax,ay,az,label
-8.094919,-7.689335,-1.384248,3
3.774678,-19.49193,-2.152344,3
1.331606,-13.02055,-0.997807,3
-5.821737,-3.282953,-0.595813,3
-9.385847,-0.929612,0.993021,3
-3.759125,-10.49014,-0.496511,3
12.47139,-17.48316,-1.887937,3
-0.258425,-12.24407,-0.334995,3
-13.02174,-2.349752,-1.605584,3
-9.15494,-5.62074,1.012164,3
3.231507,-16.54158,-1.271785,3
4.681558,-17.37668,-3.973282,3
-6.466603,-4.004389,0.831506,3
-14.06023,0.848256,-2.354537,3
-2.781656,-7.818548,4.195815,3
7.720442,-17.57289,1.450051,3
9.218349,-14.1009,-3.463611,3
-10.56192,-1.948954,3.078367,3
-13.52304,-5.536992,-2.446661,3
1.625923,-12.13999,-0.817149,3
2.142773,-17.44248,-2.464607,3
-0.847059,-8.568698,-1.019342,3
-14.32104,-1.538585,1.674976,3
-11.0668,-2.867798,-1.020539,3
10.31905,-14.64886,-1.243071,3
6.556334,-15.08914,-1.414158,3
-7.430911,-1.566102,0.434297,3
-14.29831,-2.42034,2.281556,3
-3.524628,-11.51905,-5.048856,3
7.753942,-16.45066,-2.961118,3
-3.2339,-8.583055,-0.002393,3
-12.31347,-4.539185,-0.78365,3
-12.94158,-1.088734,1.344766,3
6.435497,-13.44168,-2.108077,3
12.74537,-17.19841,0.869791,3
-5.084748,-3.092723,3.625126,3
-11.88515,-3.474378,-3.766303,3
-2.105684,-11.68415,-1.329213,3
2.504089,-16.28077,-1.556531,3
3.428915,-9.889536,-2.447858,3
-13.04687,-3.535396,1.72044,3
-14.82234,-0.965504,-3.2004,3
1.7336,-9.629915,0.111266,3
6.884151,-13.64627,1.580459,3
-0.808774,-4.974678,1.587638,3
-11.41496,-1.925026,-0.728615,3
-3.165704,-12.68794,-3.243471,3
7.267003,-17.62434,0.990629,3
-1.561317,-11.41496,-3.014956,3
-5.192425,-5.365905,-1.276571,3
-15.25903,-0.181855,0.468993,3
0.68674,-10.1336,-4.242475,3
6.449853,-11.70688,3.524628,3
-1.64028,-7.334002,-2.355734,3
-9.68854,-0.928415,-0.184247,3
-5.21755,-10.2018,1.98365,3
4.275974,-19.70609,-2.544767,3
1.808974,-10.89213,-1.314856,3
-9.534203,-5.456832,-1.238286,3
-11.17927,-1.339981,-0.965504,3
-4.504489,-9.529416,0.577867,3
4.843073,-10.32024,-0.64008,3
1.204786,-8.535198,-2.714657,3
-10.58704,-0.480957,1.197608,3
-7.523034,-9.974482,1.101895,3
4.951946,-18.95953,-1.493121,3
0.545564,-10.15753,-0.642473,3
